iter	Passed	Remaining
0	154	154253
1	156	77855
2	157	52411
3	158	39556
4	160	31892
5	162	26880
6	165	23431
7	166	20679
8	168	18566
9	170	16870
10	172	15486
11	174	14351
12	175	13359
13	178	12545
14	179	11807
15	181	11148
16	183	10582
17	184	10063
18	185	9585
19	186	9155
20	188	8780
21	190	8451
22	192	8158
23	193	7880
24	195	7616
25	196	7368
26	198	7135
27	199	6927
28	201	6755
29	203	6569
30	205	6414
31	208	6293
32	209	6150
33	211	6006
34	212	5867
35	214	5737
36	215	5608
37	216	5493
38	218	5385
39	220	5286
40	221	5191
41	223	5102
42	224	5006
43	226	4914
44	227	4825
45	228	4742
46	229	4663
47	231	4585
48	232	4510
49	234	4453
50	235	4391
51	237	4326
52	238	4263
53	239	4200
54	241	4144
55	242	4094
56	244	4039
57	245	3984
58	246	3938
59	248	3897
60	250	3857
61	252	3825
62	254	3786
63	256	3748
64	257	3709
65	259	3670
66	261	3634
67	262	3604
68	264	3571
69	266	3538
70	268	3512
71	269	3477
72	271	3442
73	272	3407
74	273	3375
75	275	3345
76	276	3313
77	278	3289
78	279	3263
79	281	3238
80	283	3212
81	284	3187
82	285	3156
83	287	3130
84	288	3106
85	290	3082
86	291	3061
87	293	3040
88	295	3021
89	296	3000
90	298	2979
91	299	2959
92	301	2938
93	302	2917
94	303	2894
95	305	2872
96	306	2849
97	307	2834
98	309	2821
99	311	2805
100	313	2788
101	314	2772
102	316	2756
103	318	2739
104	319	2722
105	320	2704
106	322	2692
107	325	2686
108	327	2674
109	328	2658
110	330	2644
111	331	2629
112	333	2614
113	334	2599
114	335	2583
115	337	2569
116	338	2556
117	340	2542
118	341	2527
119	342	2513
120	344	2499
121	345	2484
122	346	2470
123	347	2456
124	349	2443
125	350	2430
126	351	2417
127	353	2406
128	354	2396
129	356	2384
130	357	2373
131	358	2360
132	360	2347
133	361	2336
134	362	2324
135	364	2313
136	365	2302
137	367	2293
138	368	2284
139	370	2274
140	372	2268
141	373	2257
142	374	2246
143	376	2236
144	377	2226
145	378	2216
146	380	2207
147	382	2203
148	385	2199
149	386	2191
150	388	2181
151	389	2172
152	390	2164
153	392	2154
154	393	2145
155	394	2136
156	396	2130
157	398	2124
158	400	2116
159	402	2110
160	403	2104
161	405	2096
162	406	2087
163	407	2078
164	409	2071
165	410	2064
166	412	2056
167	414	2050
168	415	2045
169	417	2038
170	419	2031
171	420	2024
172	421	2016
173	423	2009
174	424	2001
175	426	1995
176	428	1991
177	430	1988
178	432	1981
179	433	1975
180	435	1969
181	436	1962
182	438	1956
183	439	1950
184	442	1947
185	444	1946
186	447	1943
187	448	1936
188	450	1932
189	451	1926
190	453	1920
191	455	1915
192	457	1911
193	458	1906
194	460	1902
195	462	1897
196	463	1890
197	465	1885
198	467	1880
199	468	1874
200	469	1868
201	472	1865
202	474	1861
203	475	1857
204	477	1851
205	479	1846
206	480	1841
207	482	1836
208	483	1830
209	485	1824
210	486	1820
211	489	1817
212	490	1813
213	492	1808
214	493	1803
215	495	1798
216	496	1792
217	498	1786
218	499	1780
219	501	1777
220	503	1773
221	504	1769
222	506	1764
223	507	1759
224	510	1757
225	512	1753
226	513	1748
227	515	1744
228	517	1741
229	519	1740
230	521	1737
231	523	1732
232	525	1728
233	526	1723
234	528	1718
235	529	1713
236	530	1709
237	532	1703
238	534	1701
239	535	1696
240	537	1691
241	538	1686
242	539	1682
243	541	1676
244	542	1671
245	543	1665
246	544	1659
247	547	1659
248	548	1655
249	550	1650
250	551	1646
251	553	1643
252	555	1638
253	556	1634
254	557	1629
255	559	1624
256	561	1624
257	563	1621
258	565	1617
259	566	1613
260	568	1609
261	570	1605
262	571	1601
263	572	1597
264	574	1592
265	575	1589
266	577	1585
267	579	1581
268	580	1577
269	581	1572
270	582	1567
271	583	1562
272	585	1557
273	586	1552
274	587	1547
275	588	1542
276	589	1538
277	591	1535
278	592	1531
279	594	1527
280	595	1524
281	597	1520
282	598	1516
283	600	1512
284	601	1508
285	602	1504
286	603	1499
287	605	1496
288	606	1492
289	608	1489
290	609	1486
291	611	1482
292	613	1479
293	614	1475
294	615	1471
295	617	1467
296	618	1464
297	620	1461
298	622	1459
299	624	1456
300	625	1452
301	627	1449
302	628	1445
303	629	1441
304	630	1436
305	631	1432
306	632	1428
307	633	1423
308	635	1421
309	638	1421
310	640	1418
311	641	1415
312	643	1411
